,Country,Temperature,CO2 Emissions,Sea Level Rise,Precipitation,Humidity,Wind Speed,HDI rank,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank.1,ISO-code,TonsPerCapita
0,Afghanistan,15.891912726379536,373.80737695014136,-0.2151504526362931,55.901644606908285,39.62956658761672,27.89349090568456,180,LOW,0.478,62.0,10.3,3,1824,-2,177,AFG,0.16085016113134
1,Albania,16.49068348433191,407.6828425926466,-0.4632593841730414,55.43032112061052,57.822692093058464,23.018766080353103,67,HIGH,0.796,76.5,14.4,11.3,14131,17,68,ALB,1.69196805679788
2,Algeria,17.389682546166714,404.6709137280588,-0.5316650658743802,44.58139117387131,56.54640099512093,21.98532456244714,91,HIGH,0.745,76.4,14.6,8.1,10800,13,96,DZA,4.01002515655643
3,Andorra,11.894944272221688,404.9678418216642,0.4332364226739211,46.302763519895365,54.64789952789793,32.07590120541011,40,VERY HIGH ,0.858,80.4,13.3,10.6,51167,-19,45,AND,6.57359548354139
4,Angola,13.81303982490177,410.9986851765769,0.4381317736172823,37.93569993999946,35.635465892218306,21.77595811540451,148,MEDIUM ,0.586,61.6,12.2,5.4,5466,-14,149,AGO,0.779292238004638
5,Antigua and Barbuda,14.74281500601236,412.2551741705718,-0.2210244383158965,44.98399610593736,56.89087386640476,19.30755457424924,71,HIGH,0.788,78.5,14.2,9.3,16792,2,71,ATG,5.60265748993128
6,Argentina,14.372905609394344,410.3533961326984,-0.0911286569857486,54.15903276869091,25.080113998904068,13.393969523319717,47,VERY HIGH ,0.842,75.4,17.9,11.1,20925,17,47,ARG,3.74054556792816
7,Armenia,16.362468261216325,411.0620994904888,0.1935406462809705,49.808362728620224,40.83293958757878,30.34509208012621,85,HIGH,0.759,72.0,13.1,11.3,13158,4,87,ARM,2.18733447682445
8,Australia,19.33038985838717,389.2680733720484,-0.1207627513344309,54.2135269514765,48.22692303552615,27.632472111775147,5,VERY HIGH ,0.951,84.5,21.1,12.7,49238,18,5,AUS,15.2534842144406
9,Austria,13.04849093047472,360.27565411636255,0.1751525006771458,37.1896113848926,55.0154165556091,26.449951691020967,25,VERY HIGH ,0.916,81.6,16,12.3,53619,-8,23,AUT,7.29356796007171
10,Azerbaijan,17.581714310855887,393.7501464406279,-0.0596196574349855,48.34592101471095,64.631930375302,33.709163620263034,91,HIGH,0.745,69.4,13.5,10.5,14257,-8,100,AZE,3.54219847943239
11,Bahamas,14.8224406170836,387.7491709611379,-0.1609771907945199,49.434776970348416,43.92338334298813,21.77455611361229,55,VERY HIGH ,0.812,71.6,12.9,12.6,30486,-8,58,BHS,
12,Bahrain,16.105784641614488,398.5751676310744,-0.0068656770675848,43.57591028046433,34.13839703355473,28.658977684330814,35,VERY HIGH ,0.875,78.8,16.3,11,39497,-1,35,BHR,22.2573732354965
13,Bangladesh,15.659163950682876,394.5158726897871,0.0685986374204221,27.048097684879025,46.29273385521237,12.394760634234794,129,MEDIUM ,0.661,72.4,12.4,7.4,5472,4,128,BGD,0.548203063745619
